name,seasons,appearances,goals
Cristiano Ronaldo,19,183,140
Lionel Messi,19,163,129
Robert Lewandowski,14,126,101
Karim Benzema,19,152,90
Raúl,15,142,71
Ruud van Nistelrooy,11,73,56
Thomas Müller,17,156,55
Kylian Mbappé,9,79,50
Thierry Henry,13,112,50
Alfredo di Stéfano,9,58,49
Zlatan Ibrahimović,16,124,48
Andriy Shevchenko,12,100,48
Mohamed Salah,10,85,46
Filippo Inzaghi,11,81,46
Erling Haaland,6,45,46
Eusébio,11,65,46
Didier Drogba,12,92,44
Neymar,10,81,43
Alessandro Del Piero,12,89,42
Sergio Agüero,13,79,41
Antoine Griezmann,12,101,40
Ferenc Puskás,9,41,36
Edinson Cavani,10,70,35
Harry Kane,7,49,34
Gerd Müller,6,35,34
