name,appearances,minutes_played,goals
Lionel Messi,520,42148,474
Cristiano Ronaldo,292,25113,311
Telmo Zarra,277,24895,254
Karim Benzema,439,32047,238
Hugo Sánchez,347,30310,234
Raúl,550,44079,228
Alfredo di Stéfano,329,29561,227
César Rodríguez,349,31410,221
Quini,448,35815,219
Pahiño,278,24925,214
Antoine Griezmann,507,39051,197
Mundo,229,20595,195
Santillana,461,36135,186
David Villa,352,27197,185
Guillermo Gorostiza,255,22950,183
Luis Suárez,258,20288,176
Samuel Eto'o,277,23016,162
Iago Aspas,373,29462,161
Luis Aragonés,344,29963,160
Aritz Aduriz,440,30246,158
Ferenc Puskás,180,16175,156
Julio Salinas,411,27106,152
Raúl Tamudo,397,28816,146
José Mari Bakero,454,35595,139
László Kubala,215,19285,138
